displayName,configCode,vendorAccount,provider,modelName,capabilities,baseUrl,consoleUrl,balanceUrl,docsUrl,status
可灵 · 文生视频,kling-gateway-text-to-video,默认账户,kling_video,kling-v3,视频生成,https://api-beijing.klingai.com,https://app.klingai.com/cn/dev/api-key,https://app.klingai.com/cn/dev/resource-pack,https://www.klingai.com/document-api/apiReference/model/textToVideo,启用
可灵 · 图生视频,kling-gateway-image-to-video,默认账户,kling_video,kling-v3,视频生成,https://api-beijing.klingai.com,https://app.klingai.com/cn/dev/api-key,https://app.klingai.com/cn/dev/resource-pack,https://www.klingai.com/document-api/apiReference/model/imageToVideo,启用
可灵 · 动作控制,kling-gateway-motion-control,默认账户,kling_video,kling-v3,视频生成,https://api-beijing.klingai.com,https://app.klingai.com/cn/dev/api-key,https://app.klingai.com/cn/dev/resource-pack,https://www.klingai.com/document-api/apiReference/model/motionControl,启用
可灵 · 多图参考生视频,kling-gateway-multi-image-to-video,默认账户,kling_video,kling-v1-6,视频生成,https://api-beijing.klingai.com,https://app.klingai.com/cn/dev/api-key,https://app.klingai.com/cn/dev/resource-pack,https://www.klingai.com/document-api/apiReference/model/multiImageToVideo,启用
可灵 · Omni 视频,kling-gateway-omni-video,默认账户,kling_video,kling-v3-omni,视频生成,https://api-beijing.klingai.com,https://app.klingai.com/cn/dev/api-key,https://app.klingai.com/cn/dev/resource-pack,https://www.klingai.com/document-api/apiReference/model/OmniVideo,启用
可灵 · 文生图,kling-gateway-image-generation,默认账户,kling_video,kling-v3,文生图,https://api-beijing.klingai.com,https://app.klingai.com/cn/dev/api-key,https://app.klingai.com/cn/dev/resource-pack,https://www.klingai.com/document-api/apiReference/model/imageGeneration,启用
可灵 · Omni 生图,kling-gateway-omni-image,默认账户,kling_video,kling-image-o1,文生图,https://api-beijing.klingai.com,https://app.klingai.com/cn/dev/api-key,https://app.klingai.com/cn/dev/resource-pack,https://www.klingai.com/document-api/apiReference/model/OmniImage,启用
